Model,Month,Precision,Recall,F1
Naive Bayes,2023-03,0.8095238095238095,0.085,0.15384615384615385
Naive Bayes,2023-04,0.9111111111111111,0.3037037037037037,0.45555555555555555
Naive Bayes,2023-05,0.96875,0.44285714285714284,0.6078431372549019
Naive Bayes,2023-06,0.4,0.08695652173913043,0.14285714285714285
Naive Bayes,2023-07,0.75,0.06976744186046512,0.1276595744680851
Naive Bayes,2023-08,0.7142857142857143,0.15151515151515152,0.25
Naive Bayes,2023-09,1.0,0.18181818181818182,0.3076923076923077
Naive Bayes,2023-10,0.8,0.13333333333333333,0.22857142857142856
Naive Bayes,2023-11,0.8571428571428571,0.16216216216216217,0.2727272727272727
Naive Bayes,2023-12,0.8947368421052632,0.425,0.576271186440678
Naive Bayes,2024-01,1.0,0.08333333333333333,0.15384615384615385
Naive Bayes,2024-02,0.9411764705882353,0.3076923076923077,0.463768115942029
Naive Bayes,2024-03,0.0,0.0,0.0
Naive Bayes,2024-04,0.8181818181818182,0.09,0.16216216216216217
Naive Bayes,2024-05,0.75,0.0375,0.07142857142857142
Naive Bayes,2024-06,0.0,0.0,0.0
Naive Bayes,2024-07,1.0,0.037037037037037035,0.07142857142857142
Naive Bayes,2024-08,1.0,0.014285714285714285,0.028169014084507043
Naive Bayes,2024-09,1.0,0.02631578947368421,0.05128205128205128
Naive Bayes,2024-10,0.5,0.02564102564102564,0.04878048780487805
Naive Bayes,2024-11,0.0,0.0,0.0
Naive Bayes,2024-12,0.0,0.0,0.0
Decision Tree,2023-03,0.956989247311828,0.89,0.9222797927461139
Decision Tree,2023-04,0.9722222222222222,0.7777777777777778,0.8641975308641975
Decision Tree,2023-05,0.8676470588235294,0.8428571428571429,0.855072463768116
Decision Tree,2023-06,0.8421052631578947,0.6956521739130435,0.7619047619047619
Decision Tree,2023-07,0.918918918918919,0.7906976744186046,0.85
Decision Tree,2023-08,0.7777777777777778,0.42424242424242425,0.5490196078431373
Decision Tree,2023-09,1.0,0.6363636363636364,0.7777777777777778
Decision Tree,2023-10,0.9166666666666666,0.7333333333333333,0.8148148148148148
Decision Tree,2023-11,0.9615384615384616,0.6756756756756757,0.7936507936507936
Decision Tree,2023-12,0.9655172413793104,0.7,0.8115942028985508
Decision Tree,2024-01,1.0,0.875,0.9333333333333333
Decision Tree,2024-02,0.90625,0.5576923076923077,0.6904761904761905
Decision Tree,2024-03,0.9466019417475728,0.975,0.9605911330049262
Decision Tree,2024-04,0.9720670391061452,0.87,0.9182058047493403
Decision Tree,2024-05,0.927536231884058,0.8,0.8590604026845637
Decision Tree,2024-06,0.9689119170984456,0.935,0.9516539440203562
Decision Tree,2024-07,0.875,0.7777777777777778,0.8235294117647058
Decision Tree,2024-08,0.9722222222222222,1.0,0.9859154929577465
Decision Tree,2024-09,0.9393939393939394,0.8157894736842105,0.8732394366197183
Decision Tree,2024-10,0.9166666666666666,0.8461538461538461,0.88
Decision Tree,2024-11,0.9285714285714286,0.9285714285714286,0.9285714285714286
Decision Tree,2024-12,1.0,0.75,0.8571428571428571
Random Forest,2023-03,0.9934640522875817,0.76,0.8611898016997167
Random Forest,2023-04,0.9826086956521739,0.837037037037037,0.904
Random Forest,2023-05,0.9827586206896551,0.8142857142857143,0.890625
Random Forest,2023-06,1.0,0.782608695652174,0.8780487804878049
Random Forest,2023-07,0.9333333333333333,0.6511627906976745,0.7671232876712328
Random Forest,2023-08,0.9411764705882353,0.48484848484848486,0.64
Random Forest,2023-09,1.0,0.38636363636363635,0.5573770491803278
Random Forest,2023-10,0.9130434782608695,0.7,0.7924528301886793
Random Forest,2023-11,1.0,0.6486486486486487,0.7868852459016393
Random Forest,2023-12,1.0,0.45,0.6206896551724138
Random Forest,2024-01,1.0,0.7916666666666666,0.8837209302325582
Random Forest,2024-02,1.0,0.38461538461538464,0.5555555555555556
Random Forest,2024-03,0.9897959183673469,0.97,0.9797979797979798
Random Forest,2024-04,0.994413407821229,0.89,0.9393139841688655
Random Forest,2024-05,0.9649122807017544,0.6875,0.8029197080291971
Random Forest,2024-06,0.989247311827957,0.92,0.9533678756476683
Random Forest,2024-07,0.9411764705882353,0.5925925925925926,0.7272727272727273
Random Forest,2024-08,0.9821428571428571,0.7857142857142857,0.873015873015873
Random Forest,2024-09,1.0,0.34210526315789475,0.5098039215686274
Random Forest,2024-10,1.0,0.7948717948717948,0.8857142857142857
Random Forest,2024-11,1.0,0.9285714285714286,0.9629629629629629
Random Forest,2024-12,1.0,0.25,0.4
Multi Layer Perceptron,2023-03,0.9710982658959537,0.84,0.900804289544236
Multi Layer Perceptron,2023-04,0.9482758620689655,0.8148148148148148,0.8764940239043825
Multi Layer Perceptron,2023-05,0.9384615384615385,0.8714285714285714,0.9037037037037037
Multi Layer Perceptron,2023-06,1.0,0.8260869565217391,0.9047619047619048
Multi Layer Perceptron,2023-07,0.9411764705882353,0.7441860465116279,0.8311688311688312
Multi Layer Perceptron,2023-08,0.8888888888888888,0.48484848484848486,0.6274509803921569
Multi Layer Perceptron,2023-09,1.0,0.6818181818181818,0.8108108108108109
Multi Layer Perceptron,2023-10,0.9166666666666666,0.7333333333333333,0.8148148148148148
