Model,Month,Precision,Recall,F1
Naive Bayes,2023-03,0.6633371026510868,0.5325,0.41543775740666933
Naive Bayes,2023-04,0.7466666666666667,0.6370370370370371,0.5916666666666667
Naive Bayes,2023-05,0.8038194444444445,0.7142857142857143,0.6915620180656532
Naive Bayes,2023-06,0.5,0.5,0.39715099715099716
Naive Bayes,2023-07,0.5530864197530865,0.5116279069767442,0.3931451612903226
Naive Bayes,2023-08,0.6833333333333333,0.5606060606060606,0.47229114971050457
Naive Bayes,2023-09,0.771604938271605,0.5795454545454546,0.4892549019607843
Naive Bayes,2023-10,0.5925925925925927,0.5333333333333333,0.4444444444444444
Naive Bayes,2023-11,0.7213675213675212,0.5945945945945946,0.5268542199488491
Naive Bayes,2023-12,0.7316026603733105,0.6708860759493671,0.649616808748816
Naive Bayes,2024-01,0.7608695652173912,0.5416666666666666,0.4197802197802198
Naive Bayes,2024-02,0.7954545454545455,0.6538461538461539,0.6067226890756303
Naive Bayes,2024-03,0.2468354430379747,0.4875,0.32773109243697474
Naive Bayes,2024-04,0.6680887170905321,0.5338345864661654,0.41897748312221994
Naive Bayes,2024-05,0.6282051282051282,0.5125,0.3704600484261501
Naive Bayes,2024-06,0.24301815985297331,0.4798994974874372,0.3226488981409595
Naive Bayes,2024-07,0.7547169811320755,0.5185185185185185,0.3732142857142857
Naive Bayes,2024-08,0.41484184914841854,0.4928571428571429,0.34220104559592357
Naive Bayes,2024-09,0.7533333333333333,0.5066666666666667,0.3548717948717948
Naive Bayes,2024-10,0.7532467532467533,0.5128205128205128,0.36120689655172417
Naive Bayes,2024-11,0.23076923076923078,0.42857142857142855,0.3
Naive Bayes,2024-12,0.25,0.5,0.3333333333333333
Decision Tree,2023-03,0.8918198134432115,0.8875,0.8871890648600204
Decision Tree,2023-04,0.8451704545454545,0.8333333333333334,0.8318920788654444
Decision Tree,2023-05,0.826831292799336,0.8214285714285714,0.8206875352220914
Decision Tree,2023-06,0.8709677419354839,0.8260869565217391,0.8206627680311891
Decision Tree,2023-07,0.8319039451114922,0.813953488372093,0.8114035087719299
Decision Tree,2023-08,0.7152173913043479,0.6818181818181818,0.6689754000477669
Decision Tree,2023-09,0.7501672240802676,0.6931818181818182,0.6746542516773929
Decision Tree,2023-10,0.8701527614571093,0.85,0.847930160518164
Decision Tree,2023-11,0.8643939393939394,0.8513513513513513,0.8500092131932927
Decision Tree,2023-12,0.8640593627237014,0.8354430379746836,0.8324954291450491
Decision Tree,2024-01,0.9615384615384616,0.9583333333333334,0.9582608695652174
Decision Tree,2024-02,0.8176691729323308,0.75,0.7359374999999999
Decision Tree,2024-03,0.960414372935642,0.96,0.9599909979745442
Decision Tree,2024-04,0.9088932376603609,0.9047619047619048,0.9045340624287992
Decision Tree,2024-05,0.8841914659108803,0.88125,0.8810222691871161
Decision Tree,2024-06,0.9423159436853942,0.9422110552763819,0.9422099608095209
Decision Tree,2024-07,0.921875,0.9074074074074074,0.9066067104808025
Decision Tree,2024-08,0.8266666666666667,0.8,0.7958333333333334
Decision Tree,2024-09,0.8328715728715728,0.8266666666666667,0.8260486123492007
Decision Tree,2024-10,0.8470665787738958,0.8461538461538461,0.8460526315789474
Decision Tree,2024-11,0.9285714285714286,0.9285714285714286,0.9285714285714286
Decision Tree,2024-12,0.7857142857142857,0.625,0.5636363636363637
Random Forest,2023-03,0.8888188314417823,0.87,0.8684077335762729
Random Forest,2023-04,0.8882880809940176,0.8703703703703703,0.8688574640225369
Random Forest,2023-05,0.8869047619047619,0.8714285714285714,0.8701298701298701
Random Forest,2023-06,0.8498985801217038,0.8260869565217391,0.823076923076923
Random Forest,2023-07,0.7991530550514215,0.7674418604651163,0.7611111111111111
Random Forest,2023-08,0.8141097424412094,0.7575757575757576,0.7461538461538462
Random Forest,2023-09,0.8793103448275862,0.8409090909090909,0.8367779544250133
Random Forest,2023-10,0.8349001175088131,0.8166666666666667,0.8141368628555337
Random Forest,2023-11,0.8775510204081632,0.8378378378378378,0.8334583645911477
Random Forest,2023-12,0.7923384410393072,0.7088607594936709,0.687926248106467
Random Forest,2024-01,0.9137931034482758,0.8958333333333334,0.8946906537955245
Random Forest,2024-02,0.7954545454545455,0.6538461538461539,0.6067226890756303
Random Forest,2024-03,0.97,0.97,0.97
Random Forest,2024-04,0.9342038505701087,0.9298245614035088,0.9296566775791153
Random Forest,2024-05,0.8836317135549873,0.875,0.8742928975487114
Random Forest,2024-06,0.9382857510998215,0.9346733668341709,0.9345544018750709
Random Forest,2024-07,0.8552631578947368,0.7962962962962963,0.7874776386404294
Random Forest,2024-08,0.94011544011544,0.9357142857142857,0.9355531686358753
Random Forest,2024-09,0.761623731459797,0.6533333333333333,0.61578231292517
Random Forest,2024-10,0.8974184782608696,0.8846153846153846,0.8836785418392709
Random Forest,2024-11,0.836898395721925,0.8214285714285714,0.8193548387096775
Random Forest,2024-12,0.7857142857142857,0.625,0.5636363636363637
Multi Layer Perceptron,2023-03,0.9034848757420781,0.8925,0.8917633140562957
Multi Layer Perceptron,2023-04,0.9127629733520337,0.9037037037037037,0.9031724137931035
Multi Layer Perceptron,2023-05,0.9365160498875484,0.9357142857142857,0.9356847532030015
Multi Layer Perceptron,2023-06,0.9107142857142856,0.8913043478260869,0.8900047824007651
Multi Layer Perceptron,2023-07,0.8739130434782609,0.872093023255814,0.8719371869500475
Multi Layer Perceptron,2023-08,0.7869565217391304,0.7424242424242424,0.7320277048005732
Multi Layer Perceptron,2023-09,0.8676549865229112,0.8522727272727273,0.8507112097089912
Multi Layer Perceptron,2023-10,0.86,0.85,0.8489510489510489
Multi Layer Perceptron,2023-11,0.8644602048857368,0.8378378378378378,0.8348214285714285
Multi Layer Perceptron,2023-12,0.9746835443037974,0.9746835443037974,0.9746835443037974
Multi Layer Perceptron,2024-01,0.8857142857142857,0.875,0.8741258741258742
Multi Layer Perceptron,2024-02,0.7063492063492063,0.5961538461538461,0.5339308578745198
Multi Layer Perceptron,2024-03,0.9580611248779755,0.9575,0.9574869803877438
Multi Layer Perceptron,2024-04,0.9533086895652341,0.9523809523809523,0.9523594076023744
Multi Layer Perceptron,2024-05,0.9135338345864662,0.9125,0.912445278298937
Multi Layer Perceptron,2024-06,0.964824120603015,0.964824120603015,0.964824120603015
Multi Layer Perceptron,2024-07,0.9354838709677419,0.9259259259259259,0.9255172413793104
Multi Layer Perceptron,2024-08,0.837519623233909,0.8071428571428572,0.8027036901717208
Multi Layer Perceptron,2024-09,0.8599711399711399,0.8533333333333334,0.8528103642954774
Multi Layer Perceptron,2024-10,0.8848684210526315,0.8846153846153846,0.8845964162419858
Multi Layer Perceptron,2024-11,0.9285714285714286,0.9285714285714286,0.9285714285714286
Multi Layer Perceptron,2024-12,0.7857142857142857,0.625,0.5636363636363637
